省,市,行政代码,时间,所有问题个数,环保问题领域个数,环保_感谢个数,环保_建言个数,环保_求助个数,环保_投诉个数,环保_咨询个数,环保_积极总值,环保_消极总值,环保_感谢积极总值,环保_感谢消极总值,环保_建言积极总值,环保_建言消极总值,环保_求助积极总值,环保_求助消极总值,环保_投诉积极总值,环保_投诉消极总值,环保_咨询积极总值,环保_咨询消极总值
云南省,保山市,530500,2020,764,58,,6.0,12.0,32.0,8.0,8.7444,49.2556,,,0.939,5.061,2.972,9.028,3.0064,28.9936,1.827,6.173
云南省,保山市,530500,2021,729,45,,3.0,8.0,28.0,6.0,2.5159,42.4843,,,0.0872,2.9128,1.089,6.911,0.9715,27.0287,0.36819999999999997,5.6318
云南省,大理州,532900,2011,33,2,,,,,2.0,0.1425,1.8575,,,,,,,,,0.1425,1.8575
云南省,大理州,532900,2012,17,1,,,,,1.0,0.0004,0.9996,,,,,,,,,0.0004,0.9996
云南省,大理州,532900,2014,35,2,,1.0,,1.0,,1.1101,0.8899,,,0.8712,0.1288,,,0.2389,0.7611,,
云南省,大理州,532900,2015,144,2,,,,2.0,,0.0031,1.9969000000000001,,,,,,,0.0031,1.9969000000000001,,
云南省,大理州,532900,2016,265,6,,2.0,,3.0,1.0,0.8257000000000001,5.1743,,,0.0562,1.9438,,,0.3887,2.6113,0.3808,0.6192
云南省,大理州,532900,2017,212,8,,,2.0,5.0,1.0,0.4546,7.5454,,,,,0.1356,1.8644,0.2379,4.7621,0.0811,0.9189
云南省,大理州,532900,2018,356,13,,1.0,1.0,11.0,,1.4413999999999998,11.5586,,,0.0014,0.9986,0.6829,0.3171,0.7571,10.2429,,
云南省,大理州,532900,2019,960,35,,3.0,7.0,24.0,1.0,2.9945,32.0055,,,1.2242,1.7758,0.0406,6.9594,1.7262,22.2738,0.0035,0.9965
云南省,大理州,532900,2020,1476,160,,2.0,36.0,112.0,10.0,10.4987,149.50130000000001,,,1.3032,0.6968,2.9664,33.0336,4.9713,107.0287,1.2578,8.7422
云南省,大理州,532900,2021,1249,96,,6.0,20.0,61.0,9.0,10.8237,85.1763,,,0.0256,5.9744,2.2471,17.7529,5.1421,55.8579,3.4089,5.5911
云南省,德宏州,533100,2014,5,1,,,,1.0,,0.0003,0.9997,,,,,,,0.0003,0.9997,,
云南省,德宏州,533100,2017,36,3,,,,3.0,,0.4859,2.5141,,,,,,,0.4859,2.5141,,
云南省,德宏州,533100,2019,263,21,,,6.0,13.0,2.0,1.2439,19.7562,,,,,0.1945,5.8056,0.9836,12.0164,0.0658,1.9342000000000001
云南省,德宏州,533100,2020,910,58,,,4.0,50.0,4.0,4.7288,53.2712,,,,,0.4874,3.5126,3.9484000000000004,46.0516,0.29300000000000004,3.707
云南省,德宏州,533100,2021,564,81,2.0,3.0,12.0,63.0,1.0,10.3203,70.6797,1.9772,0.0228,1.105,1.895,1.8793,10.1207,5.3584,57.6416,0.0004,0.9996
云南省,怒江州,533300,2016,11,3,,1.0,1.0,1.0,,0.3132,2.6868,,,0.2839,0.7161,0.0281,0.9719,0.0012,0.9988,,
云南省,怒江州,533300,2019,57,3,,,,3.0,,0.0372,2.9629000000000003,,,,,,,0.0372,2.9629000000000003,,
云南省,文山州,532600,2013,17,2,,1.0,,,1.0,0.0018,1.9982000000000002,,,0.0013,0.9987,,,,,0.0005,0.9995
云南省,文山州,532600,2014,23,1,,,1.0,,,0.0171,0.9829,,,,,0.0171,0.9829,,,,
云南省,文山州,532600,2015,31,1,,,,1.0,,0.1059,0.8941,,,,,,,0.1059,0.8941,,
云南省,文山州,532600,2017,69,1,,,,1.0,,0.0,1.0,,,,,,,0.0,1.0,,
云南省,文山州,532600,2018,90,2,,,,1.0,1.0,0.2192,1.7808000000000002,,,,,,,0.1603,0.8397,0.0589,0.9411
云南省,文山州,532600,2019,230,14,,,2.0,11.0,1.0,1.1278,12.8722,,,,,0.015,1.9849999999999999,1.1119999999999999,9.888,0.0008,0.9992
云南省,文山州,532600,2020,584,40,,,10.0,30.0,,0.1054,39.894600000000004,,,,,0.023200000000000002,9.9768,0.0822,29.9178,,
云南省,文山州,532600,2021,644,26,,,8.0,16.0,2.0,1.3587,24.6413,,,,,0.0746,7.9254,0.8387,15.161299999999999,0.4454,1.5546
云南省,昆明市,530100,2011,88,4,,,,,4.0,0.9929,3.0071,,,,,,,,,0.9929,3.0071
云南省,昆明市,530100,2012,44,2,,,,,2.0,0.0501,1.9499,,,,,,,,,0.0501,1.9499
云南省,昆明市,530100,2013,84,3,,,1.0,,2.0,0.048600000000000004,2.9514,,,,,0.0002,0.9998,,,0.048400000000000006,1.9516
云南省,昆明市,530100,2014,126,4,,,,3.0,1.0,0.1895,3.8104999999999998,,,,,,,0.18889999999999998,2.8110999999999997,0.0006,0.9994
云南省,昆明市,530100,2015,221,16,,3.0,2.0,11.0,,1.9251,14.0749,,,1.6623,1.3377,0.0023,1.9977,0.2605,10.7395,,
云南省,昆明市,530100,2016,614,30,,3.0,3.0,24.0,,2.18,27.82,,,0.6507000000000001,2.3493,0.0189,2.9811,1.5104,22.4896,,
云南省,昆明市,530100,2017,690,58,,4.0,17.0,37.0,,7.5606,50.4395,,,0.2829,3.7171,3.1525,13.8475,4.1252,32.8749,,
云南省,昆明市,530100,2018,699,52,,5.0,4.0,40.0,3.0,5.9636,46.0364,,,2.346,2.654,0.3917,3.6083,1.7609000000000001,38.2391,1.465,1.5350000000000001
云南省,昆明市,530100,2019,2122,191,3.0,22.0,31.0,131.0,4.0,18.4004,172.5996,1.9561,1.0439,6.0439,15.9561,3.7517,27.2483,5.5752,125.4248,1.0735000000000001,2.9265
云南省,昆明市,530100,2020,7671,702,2.0,24.0,116.0,514.0,46.0,54.4229,647.5771,1.1924,0.8076,5.3948,18.6052,14.7639,101.23610000000001,30.5098,483.4902,2.562,43.438
云南省,昆明市,530100,2021,8132,741,1.0,23.0,97.0,576.0,44.0,42.846,698.1541,0.9982,0.0018,5.9354,17.0646,4.1335,92.8663,26.9949,549.0054,4.784,39.216
云南省,昭通市,530600,2011,63,4,,,,,4.0,0.0241,3.9759,,,,,,,,,0.0241,3.9759
云南省,昭通市,530600,2012,43,1,,,,,1.0,0.0832,0.9168,,,,,,,,,0.0832,0.9168
云南省,昭通市,530600,2013,44,1,,1.0,,,,0.6179,0.3821,,,0.6179,0.3821,,,,,,
云南省,昭通市,530600,2014,100,2,,,1.0,,1.0,0.0411,1.9588999999999999,,,,,0.0056,0.9944,,,0.0355,0.9645
云南省,昭通市,530600,2015,130,7,,2.0,3.0,2.0,,0.6834,6.3166,,,0.48250000000000004,1.5175,0.1705,2.8295,0.0304,1.9696,,
云南省,昭通市,530600,2016,329,13,,,5.0,7.0,1.0,0.3145,12.6855,,,,,0.0896,4.9104,0.2249,6.7751,0.0,1.0
云南省,昭通市,530600,2017,397,15,,2.0,7.0,6.0,,1.8239,13.1761,,,0.9997,1.0003,0.46099999999999997,6.539,0.36319999999999997,5.6368,,
云南省,昭通市,530600,2018,1456,34,1.0,9.0,9.0,10.0,5.0,5.2053,28.7947,0.9986,0.0014,1.5428,7.4572,0.3701,8.6299,0.41869999999999996,9.5813,1.8751,3.1249000000000002
云南省,昭通市,530600,2019,2256,75,1.0,7.0,25.0,40.0,2.0,9.7699,65.23010000000001,0.9693,0.0307,2.5645,4.4355,2.4344,22.5657,3.7482,36.2517,0.0535,1.9465
云南省,昭通市,530600,2020,3868,130,,10.0,32.0,80.0,8.0,8.9866,121.0134,,,3.1024,6.8976,2.8568,29.1432,2.9888,77.0112,0.0386,7.9614
云南省,昭通市,530600,2021,3593,165,,6.0,31.0,112.0,16.0,18.4515,146.5485,,,0.006999999999999999,5.993,3.4409,27.5591,12.6608,99.3392,2.3428,13.6572
云南省,普洱市,530800,2012,25,1,,,,,1.0,0.1831,0.8169,,,,,,,,,0.1831,0.8169
云南省,普洱市,530800,2013,55,1,,,,,1.0,0.8065,0.1935,,,,,,,,,0.8065,0.1935
云南省,普洱市,530800,2014,80,7,,2.0,2.0,3.0,,0.5202,6.4798,,,0.4043,1.5957,0.1098,1.8902,0.0061,2.9939,,
云南省,普洱市,530800,2015,88,8,,3.0,2.0,3.0,,0.6601,7.3399,,,0.0484,2.9516,0.0081,1.9919,0.6036,2.3964,,
云南省,普洱市,530800,2016,169,15,,,1.0,13.0,1.0,0.7028,14.2972,,,,,0.0082,0.9918,0.0275,12.9725,0.6671,0.3329
云南省,普洱市,530800,2017,190,26,,2.0,2.0,21.0,1.0,0.6329,25.3671,,,0.3256,1.6743999999999999,0.0038,1.9962,0.2939,20.7061,0.0096,0.9904
云南省,普洱市,530800,2018,136,19,1.0,,7.0,11.0,,1.8889,17.1111,0.2613,0.7387,,,0.5606,6.4394,1.067,9.933,,
云南省,普洱市,530800,2019,280,18,,2.0,5.0,10.0,1.0,1.2430999999999999,16.7568,,,0.3657,1.6343,0.0101,4.9899000000000004,0.8673,9.1326,0.0,1.0
云南省,普洱市,530800,2020,557,52,,2.0,10.0,38.0,2.0,7.087400000000001,44.9126,,,1.8236,0.1764,3.7246,6.2754,1.5166,36.4834,0.0226,1.9774
云南省,普洱市,530800,2021,467,60,,2.0,7.0,43.0,8.0,1.9632,58.0368,,,0.0038,1.9962,0.2748,6.7252,0.6916,42.3084,0.993,7.007000000000001
云南省,曲靖市,530300,2011,62,4,,,,,4.0,0.6636,3.3364,,,,,,,,,0.6636,3.3364
云南省,曲靖市,530300,2012,54,4,,,,,4.0,0.0485,3.9515000000000002,,,,,,,,,0.0485,3.9515000000000002
云南省,曲靖市,530300,2013,92,4,,,,,4.0,0.020900000000000002,3.9791,,,,,,,,,0.020900000000000002,3.9791
云南省,曲靖市,530300,2014,93,4,,1.0,,2.0,1.0,0.0314,3.9686,,,0.0113,0.9887,,,0.0004,1.9996,0.0197,0.9803
云南省,曲靖市,530300,2015,147,12,,,3.0,8.0,1.0,1.0024,10.9976,,,,,0.5938,2.4062,0.3999,7.6001,0.0087,0.9913
云南省,曲靖市,530300,2016,301,11,,,4.0,7.0,,1.0854000000000001,9.9146,,,,,1.0799,2.9201,0.0055,6.9945,,
云南省,曲靖市,530300,2017,336,32,,2.0,6.0,24.0,,1.8771,30.1229,,,0.0026,1.9973999999999998,0.9183,5.0817,0.9562,23.0438,,
云南省,曲靖市,530300,2018,751,41,1.0,4.0,10.0,21.0,5.0,2.8315,38.1685,0.3859,0.6141,1.2811000000000001,2.7189,0.0683,9.931700000000001,0.8062,20.1938,0.29,4.71
云南省,曲靖市,530300,2019,1932,108,1.0,8.0,28.0,66.0,5.0,7.6845,100.3155,0.8586,0.1414,0.8946999999999999,7.1053,2.4092,25.5908,3.0496,62.9504,0.4724,4.5276
云南省,曲靖市,530300,2020,4094,276,2.0,18.0,56.0,174.0,26.0,27.1111,248.8889,1.949,0.051,1.7504,16.2496,7.4368,48.5632,10.4635,163.5365,5.5114,20.488599999999998
云南省,曲靖市,530300,2021,3829,253,,19.0,51.0,167.0,16.0,16.2008,236.7993,,,0.6768,18.3232,4.3341,46.6657,10.7577,156.2426,0.43220000000000003,15.5678
云南省,楚雄州,532300,2011,17,1,,,,,1.0,0.0005,0.9995,,,,,,,,,0.0005,0.9995
云南省,楚雄州,532300,2017,92,8,,,5.0,3.0,,0.4036,7.5964,,,,,0.0066,4.9934,0.397,2.6029999999999998,,
云南省,楚雄州,532300,2018,115,3,,,1.0,2.0,,0.2329,2.7671,,,,,0.2112,0.7888,0.0217,1.9783,,
云南省,楚雄州,532300,2019,294,26,,3.0,3.0,20.0,,2.7938,23.2062,,,2.4665,0.5335,0.0919,2.9081,0.2354,19.7646,,
云南省,楚雄州,532300,2020,658,66,,2.0,4.0,54.0,6.0,2.7012,63.2988,,,0.5222,1.4778,1.0937999999999999,2.9062,1.0578,52.9422,0.027399999999999997,5.9726
云南省,楚雄州,532300,2021,522,47,,8.0,8.0,29.0,2.0,4.4191,42.5809,,,2.2064,5.7936,0.0266,7.9734,0.3665,28.6335,1.8196,0.1804
云南省,玉溪市,530400,2013,29,3,,,,2.0,1.0,0.0026999999999999997,2.9973,,,,,,,0.0026999999999999997,1.9973,0.0,1.0
云南省,玉溪市,530400,2014,24,2,,,,2.0,,0.164,1.836,,,,,,,0.164,1.836,,
云南省,玉溪市,530400,2015,30,5,,1.0,,4.0,,0.03,4.97,,,0.0003,0.9997,,,0.029699999999999997,3.9703,,
云南省,玉溪市,530400,2016,65,5,,,,4.0,1.0,1.2771,3.7229,,,,,,,0.8863,3.1137,0.3908,0.6092
云南省,玉溪市,530400,2017,87,4,,1.0,,3.0,,1.389,2.6109999999999998,,,0.5352,0.4648,,,0.8538,2.1462,,
云南省,玉溪市,530400,2018,104,8,,1.0,2.0,5.0,,0.8932,7.1068,,,0.0617,0.9383,0.2083,1.7917,0.6232,4.3768,,
云南省,玉溪市,530400,2019,281,25,,1.0,7.0,15.0,2.0,2.2588,22.7412,,,0.6633,0.3367,0.7746999999999999,6.2253,0.8097000000000001,14.1903,0.0111,1.9889000000000001
云南省,玉溪市,530400,2020,880,104,,6.0,22.0,70.0,6.0,11.7481,92.2519,,,0.043199999999999995,5.9568,4.5657,17.4343,7.0838,62.9162,0.0554,5.944599999999999
云南省,玉溪市,530400,2021,890,81,,4.0,10.0,61.0,6.0,5.7514,75.2486,,,0.3916,3.6084,1.5691,8.4309,2.4217,58.5783,1.369,4.631
云南省,红河州,532500,2011,10,2,,,,,2.0,0.8267,1.1733,,,,,,,,,0.8267,1.1733
云南省,红河州,532500,2014,39,1,,,,1.0,,0.0399,0.9601,,,,,,,0.0399,0.9601,,
云南省,红河州,532500,2015,66,3,,,2.0,1.0,,0.0221,2.9779,,,,,0.0206,1.9794,0.0015,0.9985,,
云南省,红河州,532500,2016,203,19,,1.0,4.0,13.0,1.0,0.9023,18.0977,,,0.6355,0.3645,0.20800000000000002,3.792,0.0553,12.944700000000001,0.0035,0.9965
云南省,红河州,532500,2017,263,28,,1.0,9.0,17.0,1.0,0.9338,27.0662,,,0.0018,0.9982,0.0228,8.9772,0.6647000000000001,16.3353,0.2445,0.7555
云南省,红河州,532500,2018,354,29,,4.0,9.0,16.0,,2.3406,26.6594,,,0.1159,3.8841,0.7685,8.2315,1.4562,14.543800000000001,,
云南省,红河州,532500,2019,657,82,1.0,7.0,10.0,62.0,2.0,8.183,73.81700000000001,0.809,0.191,1.2628,5.7372000000000005,0.5542,9.4458,5.549,56.451,0.008,1.992
云南省,红河州,532500,2020,1702,166,,,32.0,128.0,6.0,11.0808,154.9192,,,,,2.7319999999999998,29.268,7.179,120.821,1.1698,4.8302
云南省,红河州,532500,2021,1494,124,2.0,5.0,29.0,74.0,14.0,8.9536,115.0464,1.968,0.032,1.7139,3.2861000000000002,2.7317,26.2683,2.4479,71.5521,0.0921,13.9079
云南省,西双版纳州,532800,2016,129,3,,1.0,1.0,1.0,,0.009000000000000001,2.991,,,0.0001,0.9999,0.0082,0.9918,0.0007,0.9993,,
云南省,西双版纳州,532800,2017,121,2,,1.0,,1.0,,0.2023,1.7977,,,0.2008,0.7992,,,0.0015,0.9985,,
云南省,西双版纳州,532800,2018,233,8,,,2.0,6.0,,0.8616,7.1384,,,,,0.7934,1.2066000000000001,0.0682,5.9318,,
云南省,西双版纳州,532800,2019,572,27,,7.0,10.0,9.0,1.0,3.0753,23.9247,,,1.2350999999999999,5.7649,0.2509,9.7491,1.485,7.515,0.1043,0.8957
云南省,西双版纳州,532800,2020,822,90,2.0,12.0,14.0,60.0,2.0,7.3675,82.6325,1.4694,0.5306,0.1436,11.8564,1.8881999999999999,12.1118,3.2543,56.7457,0.612,1.388
云南省,西双版纳州,532800,2021,706,46,,2.0,10.0,33.0,1.0,2.9249,43.0751,,,0.1244,1.8756,1.8763999999999998,8.1236,0.9233,32.0767,0.0008,0.9992
云南省,迪庆州,533400,2014,6,1,,,,1.0,,0.0766,0.9234,,,,,,,0.0766,0.9234,,
云南省,迪庆州,533400,2017,46,1,,,1.0,,,0.0445,0.9555,,,,,0.0445,0.9555,,,,
云南省,迪庆州,533400,2019,261,1,,,,1.0,,0.0075,0.9925,,,,,,,0.0075,0.9925,,
云南省,迪庆州,533400,2020,262,2,,,2.0,,,0.0206,1.9794,,,,,0.0206,1.9794,,,,
云南省,迪庆州,533400,2021,189,19,1.0,,,15.0,3.0,0.7827000000000001,18.2173,0.1418,0.8582,,,,,0.5857,14.4143,0.0552,2.9448
内蒙古自治区,乌兰察布市,150900,2011,96,3,,,,,3.0,0.9303,2.0697,,,,,,,,,0.9303,2.0697
内蒙古自治区,乌兰察布市,150900,2012,87,4,,,,,4.0,1.0299,2.9701,,,,,,,,,1.0299,2.9701
内蒙古自治区,乌兰察布市,150900,2013,145,5,,,,,5.0,0.11460000000000001,4.8854,,,,,,,,,0.11460000000000001,4.8854
内蒙古自治区,乌兰察布市,150900,2014,179,9,,,2.0,7.0,,0.7038,8.2962,,,,,0.4733,1.5267,0.23049999999999998,6.7695,,
内蒙古自治区,乌兰察布市,150900,2015,204,8,,,3.0,5.0,,0.8144,7.1856,,,,,0.4335,2.5665,0.38089999999999996,4.6190999999999995,,
内蒙古自治区,乌兰察布市,150900,2016,362,6,,1.0,1.0,3.0,1.0,1.2043,4.7957,,,0.4413,0.5587,0.0001,0.9999,0.6194999999999999,2.3805,0.1434,0.8566
内蒙古自治区,乌兰察布市,150900,2017,212,2,,,1.0,1.0,,0.0013,1.9987,,,,,0.0008,0.9992,0.0005,0.9995,,
内蒙古自治区,乌兰察布市,150900,2018,228,7,,1.0,3.0,3.0,,0.8582000000000001,6.1418,,,0.0028,0.9972,0.0025,2.9975,0.8529000000000001,2.1471,,
内蒙古自治区,乌兰察布市,150900,2019,308,8,,1.0,1.0,6.0,,2.5991,5.4009,,,0.9744,0.0256,0.7761,0.2239,0.8486,5.1514,,
内蒙古自治区,乌兰察布市,150900,2020,1341,18,,2.0,4.0,10.0,2.0,0.3682,17.6318,,,0.0018,1.9982,0.07200000000000001,3.928,0.0178,9.9822,0.2766,1.7234
内蒙古自治区,乌兰察布市,150900,2021,1339,28,,2.0,4.0,20.0,2.0,0.3181,27.6819,,,0.1422,1.8578,0.0479,3.9520999999999997,0.0896,19.9104,0.0384,1.9616
内蒙古自治区,乌海市,150300,2011,12,1,,,,,1.0,0.1344,0.8656,,,,,,,,,0.1344,0.8656
内蒙古自治区,乌海市,150300,2014,53,1,,,1.0,,,0.9819,0.0181,,,,,0.9819,0.0181,,,,
内蒙古自治区,乌海市,150300,2015,66,6,,1.0,2.0,2.0,1.0,0.6467,5.3533,,,0.0021,0.9979,0.6291,1.3709,0.0048000000000000004,1.9952,0.0107,0.9893
内蒙古自治区,乌海市,150300,2016,105,7,,1.0,,6.0,,0.0129,6.9871,,,0.0029,0.9971,,,0.01,5.99,,
内蒙古自治区,乌海市,150300,2017,83,10,,,1.0,9.0,,0.2757,9.7243,,,,,0.0823,0.9177,0.1934,8.8066,,
内蒙古自治区,乌海市,150300,2018,129,8,,,3.0,5.0,,0.0703,7.9297,,,,,0.0194,2.9806,0.050899999999999994,4.9491,,
内蒙古自治区,乌海市,150300,2019,133,6,,1.0,,5.0,,0.019799999999999998,5.9802,,,0.0001,0.9999,,,0.0197,4.9803,,
内蒙古自治区,乌海市,150300,2020,486,8,,,,6.0,2.0,0.0252,7.9748,,,,,,,0.008799999999999999,5.9912,0.0164,1.9836
内蒙古自治区,乌海市,150300,2021,490,18,1.0,,4.0,13.0,,1.492,16.508,0.9956,0.0044,,,0.423,3.577,0.0734,12.9266,,
内蒙古自治区,兴安盟,152200,2014,35,1,,,1.0,,,0.1185,0.8815,,,,,0.1185,0.8815,,,,
内蒙古自治区,兴安盟,152200,2016,129,1,,,1.0,,,0.5581,0.4419,,,,,0.5581,0.4419,,,,
内蒙古自治区,兴安盟,152200,2017,121,4,,,,1.0,3.0,1.2788000000000002,2.7212,,,,,,,0.0028,0.9972,1.2760000000000002,1.724
内蒙古自治区,兴安盟,152200,2018,103,4,,,1.0,2.0,1.0,0.0717,3.9284,,,,,0.0004,0.9996,0.0105,1.9895999999999998,0.0608,0.9392
内蒙古自治区,兴安盟,152200,2019,119,2,,,2.0,,,0.0013000000000000002,1.9987,,,,,0.0013000000000000002,1.9987,,,,
内蒙古自治区,兴安盟,152200,2020,696,16,,,6.0,10.0,,1.246,14.754,,,,,0.9854,5.0146,0.2606,9.7394,,
内蒙古自治区,兴安盟,152200,2021,857,43,,,16.0,27.0,,1.1577,41.8423,,,,,0.6862999999999999,15.3137,0.4714,26.5286,,
内蒙古自治区,兴安盟,152200,2022,74,2,,,1.0,,1.0,0.0042,1.9958,,,,,0.0019,0.9981,,,0.0023,0.9977
内蒙古自治区,包头市,150200,2011,65,3,,,,,3.0,0.012299999999999998,2.9877000000000002,,,,,,,,,0.012299999999999998,2.9877000000000002
内蒙古自治区,包头市,150200,2013,71,2,,1.0,,1.0,,0.0166,1.9834,,,0.0156,0.9844,,,0.001,0.999,,
内蒙古自治区,包头市,150200,2014,122,10,,,2.0,7.0,1.0,0.5977,9.4023,,,,,0.29960000000000003,1.7004000000000001,0.2972,6.7028,0.0009,0.9991
内蒙古自治区,包头市,150200,2015,262,15,,1.0,4.0,10.0,,0.7416,14.2584,,,0.0332,0.9668,0.4489,3.5511,0.2595,9.7405,,
内蒙古自治区,包头市,150200,2016,753,27,,1.0,10.0,13.0,3.0,2.2785,24.7215,,,0.0084,0.9916,0.8802,9.1198,0.4248,12.5752,0.9651000000000001,2.0349
内蒙古自治区,包头市,150200,2017,771,44,1.0,6.0,8.0,28.0,1.0,4.5752,39.4248,0.0024,0.9976,1.3515,4.6485,0.5977,7.4023,2.5471,25.4529,0.0765,0.9235
内蒙古自治区,包头市,150200,2018,851,37,,5.0,6.0,25.0,1.0,2.5756,34.4244,,,0.2636,4.7364,0.7727,5.2273,1.2977999999999998,23.7022,0.2415,0.7585
